Başlık,Yazar,Yıl,Dergi,DOI,Scopus URL
Majority Voting with Recursive QAOA and Cost-Restricted Uniform Sampling for Maximum-Likelihood Detection in Massive MIMO,Gülbahar B.,2025-01-01,IEEE Transactions on Wireless Communications,10.1109/TWC.2024.3523135,https://api.elsevier.com/content/abstract/scopus_id/85214466206
Adaptive Reuse of Existing Buildings,Andreucci M.B.,2025-01-01,Springer Tracts in Civil Engineering,10.1007/978-3-031-73490-8_11,https://api.elsevier.com/content/abstract/scopus_id/85211176051
Comparative analysis of a modified cascade refrigeration cycle including an auto-cascade refrigeration cycle using different zeotropic refrigerant mixtures for reducing the environmental impact,Karacayli I.,2025-01-01,Process Safety and Environmental Protection,10.1016/j.psep.2024.11.105,https://api.elsevier.com/content/abstract/scopus_id/85210642322
"Studying the metakaolin content, fiber type, and high-temperature effects on the physico-mechanical properties of fly ash-based geopolymer composites",Bayrak B.,2025-01-01,Archives of Civil and Mechanical Engineering,10.1007/s43452-024-01071-9,https://api.elsevier.com/content/abstract/scopus_id/85207415540
Auto-cascade refrigeration systems: A key review with energetic and exergetic perspectives,Karacayli I.,2025-01-01,Applied Thermal Engineering,10.1016/j.applthermaleng.2024.124568,https://api.elsevier.com/content/abstract/scopus_id/85206655535
"New Turkey, social policy, and a daytime talk show as a remedy: Müge Anlı as a modern Çalıkuşu",Cindoglu D.,2025-01-01,Turkish Studies,10.1080/14683849.2024.2406500,https://api.elsevier.com/content/abstract/scopus_id/85205035997
Time and frequency-based effect of energy-related R&amp;D investments on power sector CO<inf>2</inf> emissions: evidence from leading R&amp;D investing countries by WLMC approach,Kartal M.T.,2025-01-01,"Air Quality, Atmosphere and Health",10.1007/s11869-024-01641-z,https://api.elsevier.com/content/abstract/scopus_id/85204185244
Wireless transmission of vital body data and ambient magnetic field with wearable IoT device attached smart textile,Dalkılıç H.,2025-01-01,Textile Research Journal,10.1177/00405175241252964,https://api.elsevier.com/content/abstract/scopus_id/85195320541
An Examination of the Transformative Effect of Learning by Teaching Method in Human Rights Education,Günay D.,2025-01-01,Journal of Political Science Education,10.1080/15512169.2024.2353698,https://api.elsevier.com/content/abstract/scopus_id/85194266541
The role of port smartness in achieving sustainable development goals,Khalifeh M.,2025-01-01,Maritime Policy and Management,10.1080/03088839.2023.2273349,https://api.elsevier.com/content/abstract/scopus_id/85176004301
"Protracted displacement and housing systems in intermediary cities: the case of Syrians in Torbalı, Türkiye",te Lintelo D.J.H.,2025-01-01,International Journal of Housing Policy,10.1080/19491247.2023.2245213,https://api.elsevier.com/content/abstract/scopus_id/85174046573
Populism and the use of ‘foreign elite' notion in Turkish politics,Ergörenler E.,2025-01-01,Turkish Studies,10.1080/14683849.2025.2497850,https://api.elsevier.com/content/abstract/scopus_id/105004358444
"Protracted displacement and housing systems in intermediary cities: the case of Syrians in Torbalı, Türkiye",te Lintelo D.J.H.,2025-01-01,International Journal of Housing Policy,10.1080/19491247.2023.2245213,https://api.elsevier.com/content/abstract/scopus_id/105003263440
TOWARDS AN ADAPTIVE LANGUAGE MOOC: EXAMINING DIFFERENCES OF LANGUAGE ERROR PATTERNS ACROSS CULTURAL DOMAINS,OZAN O.,2025-01-01,Turkish Online Journal of Distance Education,10.17718/tojde.1452717,https://api.elsevier.com/content/abstract/scopus_id/105003157016
From Private to Public: The Public Balcony as a Catalyst in Ankara Apartments,Sever M.,2025-01-01,"Housing, Theory and Society",10.1080/14036096.2025.2494777,https://api.elsevier.com/content/abstract/scopus_id/105003144039
EXPLORING THE FOOD TOURISM EXPERIENCES OF POP CULTURE-THEMED RESTAURANTS,Çetiner B.,2025-01-01,International Case Studies in Food Tourism,10.4324/9781003583547-23,https://api.elsevier.com/content/abstract/scopus_id/105002832899
HISTORAUNTS AND CULINARY HERITAGE,Ergun A.G.,2025-01-01,International Case Studies in Food Tourism,10.4324/9781003583547-15,https://api.elsevier.com/content/abstract/scopus_id/105002831084
"Providing an Environmentally Responsible Design Experience in Architecture Education with the Integration of Multiple Courses: A Holistic Curriculum Study for Teaching on, About and for Sustainable Development of the Built Environment",Cavka B.T.,2025-01-01,World Sustainability Series,10.1007/978-3-031-80434-2_38,https://api.elsevier.com/content/abstract/scopus_id/105002766311
The Impact of Socioeconomic Factors on the HIV-Related Stigma of People Living With HIV in Turkey,Özdemir H.Ö.,2025-01-01,Inquiry (United States),10.1177/00469580251319926,https://api.elsevier.com/content/abstract/scopus_id/105002608142
Comparison of efficiencies in protectionist and liberal cabotage policies,Karagöz D.,2025-01-01,Maritime Policy and Management,10.1080/03088839.2025.2486307,https://api.elsevier.com/content/abstract/scopus_id/105002590031
Machine learning applications in smart logistics: analysing barriers for future practices,Ozkan-Ozen Y.D.,2025-01-01,"Journal of Engineering, Design and Technology",10.1108/JEDT-03-2024-0137,https://api.elsevier.com/content/abstract/scopus_id/105001641575
Majority Voting with Recursive QAOA and Cost-Restricted Uniform Sampling for Maximum-Likelihood Detection in Massive MIMO,Gülbahar B.,2025-01-01,IEEE Transactions on Wireless Communications,10.1109/TWC.2024.3523135,https://api.elsevier.com/content/abstract/scopus_id/105001061583
Revisiting the SNARC effect: testing magnitude classification in a Turkish sample typically lacking the SNARC effect,Dural S.,2025-01-01,Journal of Cognitive Psychology,10.1080/20445911.2025.2482600,https://api.elsevier.com/content/abstract/scopus_id/105000707143
The Furious Women and Victim Men of Turkish Pop Music: A Lyrical Exploration of Turkish Pop Hits of the 2000s,Özdemir B.D.,2025-01-01,Popular Music and Society,10.1080/03007766.2025.2476193,https://api.elsevier.com/content/abstract/scopus_id/105000263698
Visual framing of climate change during natural disasters at home and abroad: an analysis of British news,Günay D.,2025-01-01,Visual Communication,10.1177/14703572251320304,https://api.elsevier.com/content/abstract/scopus_id/105000143171
Optimization of Green Extraction Techniques for Polyphenolics in Pinus brutia Bark Extract and Steam Gasification of the Remaining Fraction to Obtain Hydrogen-Rich Syngas and Activated Carbon,Yildiz-Ozturk E.,2024-12-24,ACS Omega,10.1021/acsomega.4c01083,https://api.elsevier.com/content/abstract/scopus_id/85212232543
Performance evaluation of machine learning algorithms for the prediction of particle Froude number (F<inf>rn</inf>) using hyper-parameter optimizations techniques,Shakya D.,2024-12-05,Expert Systems with Applications,10.1016/j.eswa.2024.124960,https://api.elsevier.com/content/abstract/scopus_id/85200825678
Love as a Commitment Device : Evidence from a Cross-Cultural Study across 90 Countries,Kowal M.,2024-12-01,Human Nature,10.1007/s12110-024-09482-6,https://api.elsevier.com/content/abstract/scopus_id/85213068257
Status Quo of Multi-Objective Design Optimization of Kinetic Facades: A Quantitative Review,Sadeghi J.,2024-12-01,Gazi University Journal of Science,10.35378/gujs.1389930,https://api.elsevier.com/content/abstract/scopus_id/85211459943
"Design and characterization of a circular ring monopole antenna and its MIMO configuration for sub-6 GHz, sub-7 GHz and mm-wave 5G applications",Iriqat S.,2024-12-01,Physica Scripta,10.1088/1402-4896/ad8e97,https://api.elsevier.com/content/abstract/scopus_id/85209697257
A strategic and social analytics model for sustainable packaging in the cosmetic industry,D'Adamo I.,2024-12-01,Supply Chain Analytics,10.1016/j.sca.2024.100090,https://api.elsevier.com/content/abstract/scopus_id/85208185027
Student involvement and innovative teaching methods in a biophilic design education pilot elective course in interior architecture,Özbey F.,2024-12-01,Humanities and Social Sciences Communications,10.1057/s41599-024-03559-4,https://api.elsevier.com/content/abstract/scopus_id/85203280350
"Migrants as agents in placemaking: A socio-spatial analysis of Basmane area in Izmir, Türkiye",Yıldız A.,2024-12-01,"Wellbeing, Space and Society",10.1016/j.wss.2024.100222,https://api.elsevier.com/content/abstract/scopus_id/85203269099
Data fusion integrated network forecasting scheme classifier (DFI-NFSC) via multi-layer perceptron decomposition architecture,Çakan E.,2024-12-01,Internet of Things (Netherlands),10.1016/j.iot.2024.101341,https://api.elsevier.com/content/abstract/scopus_id/85203026773
Daylight Enhancement Strategies Through Roof for Heritage Buildings,Sönmez N.,2024-12-01,Journal of Daylighting,10.15627/jd.2024.17,https://api.elsevier.com/content/abstract/scopus_id/85202580624
Distributed asynchronous rendezvous planning on the line for multi-agent systems,Ozsoyeller D.,2024-12-01,Future Generation Computer Systems,10.1016/j.future.2024.06.054,https://api.elsevier.com/content/abstract/scopus_id/85198002721
From Arthurian Narratives to MMORPGs: Towards an Ethics of Virtual Ecologies,Özgü C.,2024-12-01,Folklor/Edebiyat,10.22559/folklor.2614,https://api.elsevier.com/content/abstract/scopus_id/85187703456
"Modeling the link between environmental, social, and governance disclosures and scores: the case of publicly traded companies in the Borsa Istanbul Sustainability Index",Kartal M.T.,2024-12-01,Financial Innovation,10.1186/s40854-024-00619-1,https://api.elsevier.com/content/abstract/scopus_id/85186232242
Tensile strength and durability performances-based evaluation of 3D-printed and mold-cast fibrous geopolymer composites produced at various alkaline activator combinations,Mermerdaş K.,2024-11-15,Journal of Building Engineering,10.1016/j.jobe.2024.111012,https://api.elsevier.com/content/abstract/scopus_id/85206132908
Smart technologies for collection and classification of electronic waste,Ada E.,2024-11-14,International Journal of Quality and Reliability Management,10.1108/IJQRM-08-2022-0259,https://api.elsevier.com/content/abstract/scopus_id/85145670597
Predicting S-Parameters in Microstrip Trisection Passband Filter Using a S-KNN Algorithm,Lamia S.,2024-11-01,International Journal of Microwave and Optical Technology,,https://api.elsevier.com/content/abstract/scopus_id/85213031392
"The Neglected Modern Architectural Heritage: Analysis of Housing Estates in the Second Half of the 20th Century from Izmir, Turkey, Case Study Area",Güler Nakıp G.,2024-11-01,Buildings,10.3390/buildings14113337,https://api.elsevier.com/content/abstract/scopus_id/85210263890
An Experimental Study on the Effect of GFRP and CFRP Strengthening on the Static and Dynamic Behavior of R/C Beams Under Progressive Damage,Ozturkoglu O.,2024-11-01,Applied Sciences (Switzerland),10.3390/app14219920,https://api.elsevier.com/content/abstract/scopus_id/85208583236
Shock resistors or transmitters? Contagion across industries and countries during the COVID-19 pandemic and the global financial crisis,Harb H.,2024-11-01,Economics Letters,10.1016/j.econlet.2024.112026,https://api.elsevier.com/content/abstract/scopus_id/85206658420
"Smart, sustainable, and resilient food supply chains in disruptive events context",Sezer M.D.,2024-11-01,Business Strategy and the Environment,10.1002/bse.3801,https://api.elsevier.com/content/abstract/scopus_id/85193394633
Practice-induced SNARC: evidence from a null-SNARC sample,Palaz E.,2024-11-01,Cognitive Processing,10.1007/s10339-024-01198-w,https://api.elsevier.com/content/abstract/scopus_id/85192826322
"Becoming One with the Neighborhood: Collaborative Art, Space-Making, and Urban Change in Izmir Darağaç",Kılınç K.,2024-11-01,Space and Culture,10.1177/12063312211040200,https://api.elsevier.com/content/abstract/scopus_id/85115019513
Daily river flow simulation using ensemble disjoint aggregating M5-Prime model,Khosravi K.,2024-10-30,Heliyon,10.1016/j.heliyon.2024.e37965,https://api.elsevier.com/content/abstract/scopus_id/85206015921
Carbon nanostructures for automotive and aerospace applications,Erol M.,2024-10-03,Handbook of Functionalized Carbon Nanostructures: From Synthesis Methods to Applications,10.1007/978-3-031-32150-4_67,https://api.elsevier.com/content/abstract/scopus_id/105002502748
Exergoeconomic optimization of a proposed novel combined solar powered electricity and high-capacity cooling load production system for economical and potent generation via utilization of low-grade waste heat source,Tiktas A.,2024-10-01,Thermal Science and Engineering Progress,10.1016/j.tsep.2024.102976,https://api.elsevier.com/content/abstract/scopus_id/85206696443
Towards sustainable mining in an emerging economy: Assessment of sustainability challenges,Berberoglu Y.,2024-10-01,Resources Policy,10.1016/j.resourpol.2024.105288,https://api.elsevier.com/content/abstract/scopus_id/85202879153
Integrating resilience and reliability in semiconductor supply chains during disruptions,Kumar D.,2024-10-01,International Journal of Production Economics,10.1016/j.ijpe.2024.109376,https://api.elsevier.com/content/abstract/scopus_id/85201393815
Fire detection and risk assessment via Support Vector Regression with Flattening-Samples Based Augmented Regularization,Nakıp M.,2024-10-01,Applied Soft Computing,10.1016/j.asoc.2024.112023,https://api.elsevier.com/content/abstract/scopus_id/85199552821
"How do beliefs in free will and determinism correlate with beliefs in conspiracy, paranormal, and pseudoscience beliefs?",Alper S.,2024-10-01,Personality and Individual Differences,10.1016/j.paid.2024.112765,https://api.elsevier.com/content/abstract/scopus_id/85196159784
Effect of urbanization on surface runoff and performance of green roofs and permeable pavement for mitigating urban floods,Öztürk Ş.,2024-10-01,Natural Hazards,10.1007/s11069-024-06688-w,https://api.elsevier.com/content/abstract/scopus_id/85194554395
"Towards Industry 5.0 Challenges for The Textile and Apparel Supply Chain for The Smart, Sustainable, and Collaborative Industry in Emerging Economies",Kazancoglu Y.,2024-10-01,Information Systems Frontiers,10.1007/s10796-023-10430-5,https://api.elsevier.com/content/abstract/scopus_id/85171421683
Inclusive tourism and alignment of sustainable development goals (SDGs) among tourism stakeholders,Topsakal Y.,2024-09-04,Inclusive Business Approaches in Tourism: Stakeholder Engagement,,https://api.elsevier.com/content/abstract/scopus_id/85206274560
ALGORITHMIC APPROACH TO BITONIC ALGEBRAS AND THEIR GRAPHS,Ozbal S.A.,2024-09-03,International Journal of Maps in Mathematics,,https://api.elsevier.com/content/abstract/scopus_id/85208985319
The Impact of Green Business Ethics and Green Financing on Sustainable Business Performance of Industries in Türkiye: The Mediating Role of Corporate Social Responsibility,Alay H.K.,2024-09-01,Sustainability (Switzerland),10.3390/su16177868,https://api.elsevier.com/content/abstract/scopus_id/85204106494
Enhancing electromagnetic interference shielding performance of polyester fabrics through composite polymer coating with metal oxides and expanded graphite,Özdemir E.T.,2024-09-01,Journal of Materials Science: Materials in Electronics,10.1007/s10854-024-13480-w,https://api.elsevier.com/content/abstract/scopus_id/85203697505
"Effects of Environment, Social, and Governance (ESG)disclosures on ESGscores: Investigating therole ofcorporategovernance forpubliclytraded Turkishcompanies",Kartal M.T.,2024-09-01,Journal of Environmental Management,10.1016/j.jenvman.2024.122205,https://api.elsevier.com/content/abstract/scopus_id/85201477571
Carnitine modulates antioxidative defense in ABI2 mutant under salt stress,Gokce A.,2024-09-01,Plant Growth Regulation,10.1007/s10725-024-01169-3,https://api.elsevier.com/content/abstract/scopus_id/85195646989
Leveraging explainable artificial intelligence in understanding public transportation usage rates for sustainable development,Sariyer G.,2024-09-01,Omega (United Kingdom),10.1016/j.omega.2024.103105,https://api.elsevier.com/content/abstract/scopus_id/85192144152
LEVERAGING FINANCIAL LITERACY INTO SUSTAINABLE BUSINESS PERFORMANCE: A MEDIATED-MODERATED MODEL,Ratnawati K.,2024-08-28,"Business, Management and Economics Engineering",10.3846/bmee.2024.21449,https://api.elsevier.com/content/abstract/scopus_id/85208598858
Positioning electric vehicles charging stations within the framework of sustainability and circular economy,Gezer R.I.,2024-08-02,E3S Web of Conferences,10.1051/e3sconf/202455801003,https://api.elsevier.com/content/abstract/scopus_id/85201305831
Green innovation and environmental reputation: A bibliometric and research future avenue,Arsawan I.W.E.,2024-08-02,E3S Web of Conferences,10.1051/e3sconf/202455801012,https://api.elsevier.com/content/abstract/scopus_id/85201298098
Analysis of industry 4.0 applications for Turkish agriculture,Temimhan D.,2024-08-02,E3S Web of Conferences,10.1051/e3sconf/202455801007,https://api.elsevier.com/content/abstract/scopus_id/85201291181
Preface,Kazancoglu Y.,2024-08-02,E3S Web of Conferences,,https://api.elsevier.com/content/abstract/scopus_id/85201258798
Utilization of agri-food products as sources of high value-added bioactive compounds by using sustainable energy efficient eco-friendly technologies,Yildiz-Ozturk E.,2024-08-02,E3S Web of Conferences,10.1051/e3sconf/202455801001,https://api.elsevier.com/content/abstract/scopus_id/85201255005
"The Role of Fear, Sadness, and Anger in Shaping Support for Climate Policies: Evidence from a UK Survey Experiment",Günay D.,2024-08-01,Sustainability and climate change,10.1089/scc.2024.0091,https://api.elsevier.com/content/abstract/scopus_id/85202979143
Heavy metal toxicity leads to accumulation of insoluble proteins and induces endoplasmic reticulum stress–specific unfolded protein response in Arabidopsis thaliana,Demircan N.,2024-08-01,Environmental Science and Pollution Research,10.1007/s11356-024-34780-y,https://api.elsevier.com/content/abstract/scopus_id/85201824769
How are energy transition and energy-related R&amp;D investments effective in enabling decarbonization? Evidence from Nordic Countries by novel WLMC model,Kartal M.T.,2024-08-01,Journal of Environmental Management,10.1016/j.jenvman.2024.121664,https://api.elsevier.com/content/abstract/scopus_id/85197111050
A numerical approach to exergy-based sustainability and environmental assessments of solar energy-powered district cooling systems using actual operational data,Ozcan H.G.,2024-08-01,Process Safety and Environmental Protection,10.1016/j.psep.2024.06.043,https://api.elsevier.com/content/abstract/scopus_id/85196320041
Q-learning guided algorithms for bi-criteria minimization of total flow time and makespan in no-wait permutation flowshops,Yüksel D.,2024-08-01,Swarm and Evolutionary Computation,10.1016/j.swevo.2024.101617,https://api.elsevier.com/content/abstract/scopus_id/85195865594
Predictive and prescriptive analytics for ESG performance evaluation: A case of Fortune 500 companies,Sariyer G.,2024-08-01,Journal of Business Research,10.1016/j.jbusres.2024.114742,https://api.elsevier.com/content/abstract/scopus_id/85195045020
